threshold,n_unknowns,stat,acc_Z,acc_X,overall_accuracy
0.37,6,mad05,1.0,1.0,1.0
0.37,8,mad05,1.0,1.0,1.0
0.37,10,mad05,1.0,1.0,1.0
0.37,12,mad05,1.0,1.0,1.0
0.37,16,mad05,1.0,1.0,1.0
0.37,20,mad05,1.0,1.0,1.0
0.38,2,mad05,1.0,1.0,1.0
0.38,4,mad05,1.0,1.0,1.0
0.38,6,mad05,1.0,1.0,1.0
0.38,8,mad05,1.0,1.0,1.0
0.38,10,mad05,1.0,1.0,1.0
0.38,12,mad05,1.0,1.0,1.0
0.38,16,mad05,1.0,1.0,1.0
0.38,20,mad05,1.0,1.0,1.0
0.39,2,mad05,1.0,1.0,1.0
0.39,4,mad05,1.0,1.0,1.0
0.39,6,mad05,1.0,1.0,1.0
0.39,8,mad05,1.0,1.0,1.0
0.39,10,mad05,1.0,1.0,1.0
0.39,12,mad05,1.0,1.0,1.0
0.39,16,mad05,1.0,1.0,1.0
0.39,20,mad05,1.0,1.0,1.0
0.4,2,mad05,1.0,1.0,1.0
0.4,4,mad05,1.0,1.0,1.0
0.4,6,mad05,1.0,1.0,1.0
0.4,8,mad05,1.0,1.0,1.0
0.4,10,mad05,1.0,1.0,1.0
0.4,12,mad05,1.0,1.0,1.0
0.4,16,mad05,1.0,1.0,1.0
0.4,20,mad05,1.0,1.0,1.0
0.41000000000000003,2,mad05,1.0,1.0,1.0
0.41000000000000003,4,mad05,1.0,1.0,1.0
0.41000000000000003,6,mad05,1.0,1.0,1.0
0.41000000000000003,8,mad05,1.0,1.0,1.0
0.41000000000000003,10,mad05,1.0,1.0,1.0
0.41000000000000003,12,mad05,1.0,1.0,1.0
0.41000000000000003,16,mad05,1.0,1.0,1.0
0.41000000000000003,20,mad05,1.0,1.0,1.0
0.42,2,mad05,0.96,1.0,0.98
0.42,4,mad05,0.996,1.0,0.998
0.42,6,mad05,0.9995,1.0,0.99975
0.42,8,mad05,1.0,1.0,1.0
0.42,10,mad05,1.0,1.0,1.0
0.42,12,mad05,1.0,1.0,1.0
0.42,16,mad05,1.0,1.0,1.0
0.42,20,mad05,1.0,1.0,1.0
